compound_id,receptor_subtype,MW,LogP,pKa_predito,Ki_nM,IC50_nM,docking_score,fonte_literatura
CMP-0053,GluN2C,226.0,2.6,8.03,102.8,11.5,-8.35,literatura primária
CMP-0054,GluN2B,365.79,2.52,4.54,33.4,202.2,-6.29,PubChem
CMP-0055,GluN2B,390.59,2.62,7.2,29.5,409.4,-8.53,ChEMBL
CMP-0056,GluN2C,397.76,3.02,8.99,44.7,22.4,-10.69,ChEMBL
CMP-0057,GluN2B,357.69,1.69,9.09,182.2,67.1,-9.32,literatura primária
CMP-0058,GluN2B,274.6,3.58,9.04,26.0,37.0,-7.43,BindingDB
CMP-0059,GluN2A,399.68,3.53,7.46,159.0,46.6,-7.65,literatura primária
CMP-0060,GluN2A,483.64,3.22,6.05,17.9,158.3,-10.39,PubChem
CMP-0061,GluN2B,287.97,3.41,5.67,69.0,12.2,-9.21,literatura primária
CMP-0062,GluN2B,431.83,3.13,7.95,103.8,310.2,-9.01,literatura primária
CMP-0063,GluN2B,360.29,5.04,8.01,2161.7,366.7,-8.71,ChEMBL
CMP-0064,GluN2C,376.32,2.7,9.46,15.0,109.8,-10.13,BindingDB
CMP-0065,GluN2B,316.83,2.46,9.16,610.1,7.6,-9.08,PubChem
CMP-0066,GluN2B,359.93,1.97,7.19,109.4,44.9,-9.22,literatura primária
CMP-0067,GluN2B,458.0,1.66,5.41,153.6,651.6,-7.12,literatura primária
CMP-0068,GluN2A,414.96,1.43,6.89,105.0,5.3,-7.07,ChEMBL
CMP-0069,GluN2A,483.94,1.82,7.75,160.5,97.8,-8.4,BindingDB
CMP-0070,GluN2B,450.64,2.72,7.08,73.7,36.0,-8.75,ChEMBL
CMP-0071,GluN2A,406.35,3.17,6.48,596.0,389.7,-8.0,PubChem
CMP-0072,GluN2B,484.64,2.86,7.8,49.7,66.0,-9.34,BindingDB
CMP-0073,GluN2C,406.34,1.96,6.59,392.3,241.0,-9.81,BindingDB
CMP-0074,GluN2A,429.68,3.79,6.4,39.0,292.5,-9.52,literatura primária
CMP-0075,GluN2A,362.21,3.61,7.9,83.2,1344.1,-9.09,literatura primária
CMP-0076,GluN2A,383.99,2.62,6.76,22.3,116.3,-9.83,ChEMBL
CMP-0077,GluN2A,338.15,2.08,7.79,162.6,233.1,-7.97,literatura primária
CMP-0078,GluN2B,439.38,3.4,7.84,589.1,25.0,-7.18,BindingDB
CMP-0079,GluN2B,309.3,3.01,5.58,81.4,619.2,-10.42,BindingDB
CMP-0080,GluN2C,426.94,1.21,6.63,69.7,59.6,-8.16,BindingDB
CMP-0081,GluN2B,368.56,2.73,9.7,21.1,75.7,-8.51,literatura primária
CMP-0082,GluN2B,450.27,3.09,5.54,66.8,144.5,-7.72,BindingDB
CMP-0083,GluN2C,425.05,1.81,4.01,11.4,22.7,-8.22,PubChem
CMP-0084,GluN2A,489.24,3.01,4.42,27.5,195.3,-10.24,PubChem
CMP-0085,GluN2A,423.85,1.2,7.45,120.9,473.9,-9.97,ChEMBL
CMP-0086,GluN2A,285.68,4.27,7.45,500.1,210.9,-8.16,BindingDB
CMP-0087,GluN2B,375.98,4.17,7.21,3470.2,22.1,-6.76,BindingDB
CMP-0088,GluN2B,309.68,2.52,9.34,42.0,127.9,-11.3,ChEMBL
CMP-0089,GluN2A,348.9,3.2,3.12,581.7,361.6,-7.72,BindingDB
CMP-0090,GluN2B,470.67,0.15,8.03,123.6,15.6,-6.53,literatura primária
CMP-0091,GluN2A,418.25,1.53,9.9,73.9,40.9,-8.41,ChEMBL
CMP-0092,GluN2B,338.06,2.48,5.6,158.0,424.9,-7.43,ChEMBL
CMP-0093,GluN2B,319.18,1.62,6.79,97.6,205.2,-9.18,BindingDB
CMP-0094,GluN2B,381.97,3.59,6.2,103.9,243.3,-8.37,ChEMBL
CMP-0095,GluN2A,307.01,5.0,5.97,52.9,1382.1,-10.47,literatura primária
CMP-0096,GluN2B,339.73,1.51,6.88,14.6,260.4,-11.48,literatura primária
CMP-0097,GluN2B,398.72,1.88,9.68,12.1,326.8,-6.88,BindingDB
CMP-0098,GluN2A,449.32,3.06,10.34,210.4,3838.7,-9.58,ChEMBL
CMP-0099,GluN2A,416.53,4.57,6.86,62.8,114.8,-8.84,BindingDB
CMP-0100,GluN2D,242.52,1.46,10.45,41.5,57.0,-10.14,PubChem
CMP-0101,GluN2D,398.26,3.07,7.46,91.0,248.0,-10.17,ChEMBL
CMP-0102,GluN2B,384.32,4.8,10.21,253.0,251.3,-8.44,PubChem
CMP-0103,GluN2A,404.83,0.98,7.25,113.8,78.9,-9.22,PubChem
CMP-0104,GluN2D,476.97,1.39,7.61,38.4,43.0,-7.67,PubChem
CMP-0105,GluN2C,256.21,2.33,7.98,443.3,2372.8,-7.57,BindingDB
CMP-0106,GluN2B,344.53,2.23,12.49,701.3,219.7,-7.75,PubChem
CMP-0107,GluN2B,415.45,3.69,8.76,171.2,61.6,-7.87,BindingDB
CMP-0108,GluN2A,285.1,3.07,6.27,319.2,445.5,-5.99,ChEMBL
CMP-0109,GluN2A,468.56,0.85,8.95,452.4,130.2,-9.69,ChEMBL
CMP-0110,GluN2D,402.1,3.37,6.82,391.2,109.6,-8.28,literatura primária
CMP-0111,GluN2B,430.8,2.16,6.62,200.0,291.4,-6.61,BindingDB
CMP-0112,GluN2A,345.74,4.2,8.85,195.9,31.5,-6.43,BindingDB
CMP-0113,GluN2A,428.83,2.11,7.45,176.9,226.6,-10.19,BindingDB
CMP-0114,GluN2B,444.11,2.1,7.85,21.6,1473.7,-8.64,PubChem
CMP-0115,GluN2A,393.97,3.4,7.42,223.8,259.7,-6.3,PubChem
CMP-0116,GluN2C,394.06,3.64,7.94,15.4,94.5,-7.49,BindingDB
CMP-0117,GluN2C,396.22,3.29,8.08,32.0,80.8,-7.93,literatura primária
CMP-0118,GluN2B,328.2,0.95,4.3,490.1,90.7,-8.5,PubChem
CMP-0119,GluN2B,371.15,3.39,8.47,268.3,109.4,-8.74,PubChem
CMP-0120,GluN2B,370.85,1.66,5.83,622.4,94.3,-7.8,literatura primária
CMP-0121,GluN2B,403.0,3.06,5.09,63.2,445.7,-8.55,literatura primária
CMP-0122,GluN2B,439.99,1.23,7.31,20.1,18.5,-8.26,PubChem
CMP-0123,GluN2A,316.49,3.29,7.53,65.9,417.5,-8.09,ChEMBL
CMP-0124,GluN2B,372.5,1.91,6.29,102.8,94.1,-9.15,BindingDB
CMP-0125,GluN2A,468.89,1.39,8.73,99.8,233.3,-7.46,PubChem
CMP-0126,GluN2B,335.38,3.59,5.25,393.0,38.4,-4.12,ChEMBL
CMP-0127,GluN2A,330.66,3.07,6.75,56.3,731.0,-10.69,ChEMBL
CMP-0128,GluN2A,392.14,2.12,6.46,142.3,661.7,-7.75,BindingDB
CMP-0129,GluN2A,430.66,4.4,7.33,24.9,469.4,-9.26,ChEMBL
CMP-0130,GluN2B,380.69,2.32,7.85,161.6,24.1,-7.39,ChEMBL
CMP-0131,GluN2A,459.74,2.84,5.79,90.4,401.4,-8.13,ChEMBL
CMP-0132,GluN2D,431.41,3.1,8.56,34.0,241.2,-7.13,literatura primária
CMP-0133,GluN2B,430.51,2.12,7.5,66.2,21.6,-6.55,PubChem
CMP-0134,GluN2A,413.25,3.32,4.37,70.9,144.1,-7.93,PubChem
CMP-0135,GluN2B,519.66,2.21,4.27,63.4,229.9,-6.62,PubChem
CMP-0136,GluN2A,367.69,2.35,7.38,900.3,289.2,-11.48,literatura primária
CMP-0137,GluN2D,259.79,4.3,7.05,79.2,183.6,-5.97,literatura primária
CMP-0138,GluN2B,476.26,1.66,7.23,65.6,210.5,-7.67,BindingDB
CMP-0139,GluN2C,352.54,0.15,7.36,5.9,869.9,-6.69,PubChem
CMP-0140,GluN2A,386.47,4.57,7.76,28.1,646.3,-9.91,literatura primária
CMP-0141,GluN2B,458.57,5.6,8.92,63.9,4.8,-9.36,ChEMBL
CMP-0142,GluN2B,283.86,2.35,5.62,36.9,101.4,-8.0,literatura primária
CMP-0143,GluN2D,304.9,0.67,5.52,542.5,121.8,-8.22,ChEMBL
CMP-0144,GluN2B,283.92,2.46,5.65,72.6,18.1,-7.8,literatura primária
CMP-0145,GluN2B,332.35,2.49,7.86,480.6,166.2,-6.68,literatura primária
CMP-0146,GluN2A,406.38,2.59,9.39,97.5,664.2,-10.67,PubChem
CMP-0147,GluN2A,411.45,1.58,6.71,94.5,40.3,-6.84,BindingDB
CMP-0148,GluN2B,396.58,3.44,3.4,80.2,222.2,-8.19,ChEMBL
CMP-0149,GluN2B,295.23,3.38,4.67,90.5,49.5,-8.49,ChEMBL
CMP-0150,GluN2A,241.39,1.16,6.07,840.9,66.3,-10.26,ChEMBL
CMP-0151,GluN2C,383.26,3.57,6.51,4.4,873.8,-7.5,BindingDB
CMP-0152,GluN2C,351.69,5.06,6.75,6.7,77.4,-11.58,ChEMBL
CMP-0153,GluN2A,407.56,2.99,7.46,44.4,258.4,-7.29,BindingDB
CMP-0154,GluN2B,422.12,2.43,6.9,91.7,15.7,-10.29,BindingDB
CMP-0155,GluN2A,388.29,2.64,9.08,220.8,1386.8,-8.13,literatura primária
CMP-0156,GluN2B,425.61,3.48,6.32,166.5,305.9,-8.37,literatura primária
CMP-0157,GluN2A,393.75,0.9,6.02,54.6,119.2,-6.56,PubChem
CMP-0158,GluN2B,411.8,2.98,8.17,338.6,296.1,-8.45,literatura primária
CMP-0159,GluN2B,337.72,2.37,4.94,343.5,27.3,-9.17,PubChem
CMP-0160,GluN2C,369.22,4.83,8.02,114.4,613.4,-8.91,BindingDB
CMP-0161,GluN2A,391.81,2.61,7.56,314.6,100.6,-6.42,ChEMBL
CMP-0162,GluN2D,429.23,4.63,7.16,128.3,116.2,-7.45,BindingDB
CMP-0163,GluN2A,356.38,1.59,9.94,43.4,82.3,-8.74,BindingDB
CMP-0164,GluN2A,411.27,3.45,6.4,223.0,73.9,-8.53,literatura primária
CMP-0165,GluN2B,364.05,3.15,10.7,103.9,341.6,-10.39,ChEMBL
CMP-0166,GluN2B,372.95,1.84,7.04,90.2,201.8,-7.66,literatura primária
CMP-0167,GluN2C,429.77,3.0,5.36,610.8,324.4,-10.66,ChEMBL
CMP-0168,GluN2C,260.42,4.13,7.51,3.7,146.9,-7.15,PubChem
CMP-0169,GluN2A,302.21,2.44,5.68,14.3,274.7,-8.02,ChEMBL
CMP-0170,GluN2D,291.07,0.94,6.2,19.2,89.8,-4.86,BindingDB
CMP-0171,GluN2A,239.98,2.78,8.04,56.1,2155.3,-9.74,BindingDB
CMP-0172,GluN2B,339.3,1.81,8.29,64.7,22.6,-8.34,literatura primária
CMP-0173,GluN2A,424.97,2.42,6.4,12.7,673.9,-5.68,PubChem
CMP-0174,GluN2D,362.91,2.71,8.98,25.0,766.2,-6.53,ChEMBL
CMP-0175,GluN2A,391.87,0.92,9.25,29.4,53.4,-9.17,literatura primária
CMP-0176,GluN2A,445.35,1.02,9.7,2196.6,2154.1,-7.89,ChEMBL
CMP-0177,GluN2B,459.66,3.33,8.25,936.6,490.1,-8.2,PubChem
CMP-0178,GluN2D,375.85,2.23,9.58,52.7,476.0,-7.81,literatura primária
CMP-0179,GluN2C,461.22,-0.02,4.39,56.1,153.5,-9.18,ChEMBL
CMP-0180,GluN2B,385.53,3.66,6.89,20.2,114.4,-8.33,literatura primária
CMP-0181,GluN2C,329.76,3.1,6.01,7.5,115.4,-10.44,literatura primária
CMP-0182,GluN2C,344.34,2.01,7.59,77.3,237.1,-8.01,literatura primária
CMP-0183,GluN2B,291.17,1.35,6.49,24.6,797.5,-7.57,BindingDB
CMP-0184,GluN2A,326.71,3.72,7.13,80.6,184.5,-8.52,literatura primária
CMP-0185,GluN2C,358.52,3.18,10.41,11.2,49.7,-10.46,literatura primária
CMP-0186,GluN2B,428.22,5.42,7.13,33.4,399.1,-6.82,ChEMBL
CMP-0187,GluN2B,483.25,3.26,8.06,109.2,448.3,-7.69,PubChem
CMP-0188,GluN2A,297.07,3.23,7.03,144.9,325.6,-9.22,ChEMBL
CMP-0189,GluN2B,403.57,2.62,7.52,154.9,363.1,-8.59,BindingDB
CMP-0190,GluN2A,317.57,3.7,7.41,16.2,107.2,-10.3,BindingDB
CMP-0191,GluN2D,408.48,3.49,8.12,273.4,48.7,-9.64,PubChem
CMP-0192,GluN2A,372.13,4.18,9.26,31.8,52.4,-8.95,BindingDB
CMP-0193,GluN2A,270.15,2.23,10.04,204.9,20.9,-6.48,PubChem
CMP-0194,GluN2C,435.7,2.32,7.9,88.8,197.2,-9.1,BindingDB
CMP-0195,GluN2A,343.7,2.27,8.34,15.0,134.3,-7.3,BindingDB
CMP-0196,GluN2A,347.97,3.67,5.56,59.7,87.5,-8.95,BindingDB
CMP-0197,GluN2B,315.81,4.45,7.26,144.7,4.3,-7.85,ChEMBL
CMP-0198,GluN2C,340.74,2.3,8.9,199.7,33.2,-8.4,ChEMBL
CMP-0199,GluN2A,405.67,2.33,8.79,74.9,569.6,-6.98,BindingDB
CMP-0200,GluN2A,368.65,3.15,7.74,659.4,66.8,-8.95,BindingDB
CMP-0201,GluN2C,399.72,2.53,8.82,333.5,228.8,-10.4,literatura primária
CMP-0202,GluN2D,401.72,3.85,8.19,64.5,28.0,-10.13,ChEMBL
CMP-0203,GluN2B,459.24,0.32,9.32,238.7,834.2,-8.94,ChEMBL
CMP-0204,GluN2A,359.43,1.89,7.86,1112.0,124.9,-9.95,ChEMBL
CMP-0205,GluN2A,291.39,1.94,6.83,1151.3,210.2,-7.63,BindingDB
CMP-0206,GluN2A,444.03,0.25,7.94,18.2,2418.6,-8.85,PubChem
CMP-0207,GluN2A,360.11,1.74,2.71,27.0,915.7,-4.88,ChEMBL
CMP-0208,GluN2B,446.88,1.79,8.01,620.4,102.7,-10.63,PubChem
CMP-0209,GluN2A,403.0,2.58,1.56,22.7,72.8,-7.91,BindingDB
CMP-0210,GluN2B,372.13,4.02,4.64,16.1,100.4,-9.78,literatura primária
CMP-0211,GluN2B,400.93,2.53,8.12,47.8,273.7,-8.89,literatura primária
CMP-0212,GluN2B,497.06,1.67,8.16,155.4,130.8,-8.0,ChEMBL
CMP-0213,GluN2A,504.62,2.74,5.54,78.8,92.4,-11.46,PubChem
CMP-0214,GluN2C,384.16,3.95,6.26,38.6,863.2,-7.87,PubChem
CMP-0215,GluN2B,389.61,1.73,9.59,37.5,129.4,-5.54,PubChem
CMP-0216,GluN2B,444.57,1.8,6.63,35.7,2343.7,-8.83,literatura primária
CMP-0217,GluN2A,329.26,3.41,10.99,28.7,165.5,-7.84,literatura primária
CMP-0218,GluN2A,399.98,2.56,7.4,1747.8,1264.4,-6.77,BindingDB
CMP-0219,GluN2D,378.45,3.51,8.05,132.5,227.9,-8.43,PubChem
CMP-0220,GluN2B,398.83,2.78,9.99,285.1,471.3,-9.01,PubChem
CMP-0221,GluN2A,330.0,3.57,7.61,47.7,62.2,-11.39,literatura primária
CMP-0222,GluN2B,284.63,1.66,5.8,70.7,53.3,-7.3,ChEMBL
CMP-0223,GluN2B,255.62,2.79,7.22,35.6,257.7,-8.36,PubChem
CMP-0224,GluN2D,312.96,2.57,7.34,2.9,486.0,-9.62,PubChem
CMP-0225,GluN2A,352.48,1.46,5.22,15.0,155.8,-8.02,ChEMBL
CMP-0226,GluN2D,362.41,1.08,6.99,8.6,31.7,-9.02,BindingDB
CMP-0227,GluN2A,496.23,3.55,6.21,4.8,29.0,-8.94,literatura primária
CMP-0228,GluN2B,446.36,2.41,8.88,19.0,26.8,-7.35,ChEMBL
CMP-0229,GluN2B,322.27,1.68,7.46,503.9,17.8,-10.07,BindingDB
CMP-0230,GluN2A,400.86,2.69,6.95,85.0,169.3,-6.73,PubChem
CMP-0231,GluN2A,355.58,4.04,7.23,481.9,572.5,-10.16,PubChem
CMP-0232,GluN2B,362.94,0.29,7.76,153.6,146.0,-9.13,PubChem
CMP-0233,GluN2D,391.12,1.15,8.39,249.0,9.9,-5.51,literatura primária
CMP-0234,GluN2B,417.15,1.78,5.8,27.9,118.0,-6.62,BindingDB
CMP-0235,GluN2D,359.64,4.41,5.73,177.9,122.1,-8.06,literatura primária
CMP-0236,GluN2C,443.83,3.11,9.17,232.1,1835.7,-9.52,PubChem
CMP-0237,GluN2B,311.48,3.64,6.74,42.5,25.8,-8.94,PubChem
CMP-0238,GluN2C,380.38,1.55,5.13,186.3,92.9,-8.1,literatura primária
CMP-0239,GluN2A,535.86,1.57,8.11,187.9,1149.4,-8.15,PubChem
CMP-0240,GluN2A,393.38,3.29,8.14,44.1,254.7,-8.33,PubChem
CMP-0241,GluN2C,465.99,2.86,4.95,20.9,291.8,-8.24,BindingDB
CMP-0242,GluN2C,385.49,3.4,7.77,19.3,170.3,-8.5,BindingDB
CMP-0243,GluN2A,414.85,2.59,8.58,100.7,220.5,-10.22,PubChem
CMP-0244,GluN2B,376.59,3.11,8.0,137.7,377.3,-8.92,ChEMBL
CMP-0245,GluN2B,369.78,2.97,8.41,32.1,56.2,-6.92,BindingDB
CMP-0246,GluN2C,333.23,3.66,5.15,93.2,425.7,-10.12,ChEMBL
CMP-0247,GluN2B,405.82,3.69,7.93,189.0,28.6,-8.47,ChEMBL
CMP-0248,GluN2B,328.91,1.02,6.92,201.1,220.1,-9.35,PubChem
CMP-0249,GluN2B,419.94,0.33,6.63,676.8,183.9,-8.04,ChEMBL
CMP-0250,GluN2B,445.12,3.9,8.79,473.5,70.8,-8.74,literatura primária
